Zeichen:   Anzahl: 44
Zeichen: , Anzahl: 3
Zeichen: - Anzahl: 1
Zeichen: . Anzahl: 3
Zeichen: A Anzahl: 3
Zeichen: B Anzahl: 1
Zeichen: F Anzahl: 1
Zeichen: H Anzahl: 2
Zeichen: I Anzahl: 2
Zeichen: M Anzahl: 1
Zeichen: N Anzahl: 1
Zeichen: O Anzahl: 2
Zeichen: P Anzahl: 1
Zeichen: S Anzahl: 3
Zeichen: T Anzahl: 1
Zeichen: U Anzahl: 1
Zeichen: V Anzahl: 1
Zeichen: a Anzahl: 17
Zeichen: b Anzahl: 11
Zeichen: c Anzahl: 16
Zeichen: d Anzahl: 11
Zeichen: e Anzahl: 57
Zeichen: f Anzahl: 7
Zeichen: g Anzahl: 12
Zeichen: h Anzahl: 20
Zeichen: i Anzahl: 32
Zeichen: k Anzahl: 1
Zeichen: l Anzahl: 16
Zeichen: m Anzahl: 6
Zeichen: n Anzahl: 32
Zeichen: o Anzahl: 5
Zeichen: r Anzahl: 20
Zeichen: s Anzahl: 13
Zeichen: t Anzahl: 23
Zeichen: u Anzahl: 18
Zeichen: v Anzahl: 2
Zeichen: w Anzahl: 4
Zeichen: z Anzahl: 10
Zeichen: ä Anzahl: 3
Zeichen: ü Anzahl: 2
